platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines
https://www.mastersportal.com/studies/48071/,University of Barcelona,Economics,M.Sc.,On Campus,2 years,"2,790",The MSc in Economics at the University of Barcelona (UB) is a high quality Master Program intended to train and educate economists to undertake top research in one of the best places to study worldwide. This programme has recently been accredited with Excellence by the Universities Council which recognises outstanding achievements and performance.,151st ,English,120 ECTS,Barcelona,Spain,.,.,.,.,.,15/06/2021,12/09/2021,"Economics, Econometrics"
https://www.mastersportal.com/studies/282057/,Erasmus University Rotterdam,Financial Economics,M.Sc.,On Campus,1 year,"2,143","Does the world of finance attract you like no other? Do you aim for a career in which you address challenges, such as private equity, corporate governance and asset management? The Financial Economics specialisation at the Erasmus University Rotterdam covers it all.",72nd ,English,60 ECTS,Rotterdam,Netherlands,     91      ,     6.5      ,.,.,.,01/05/2021,01/09/2021,"Economics, Finance, Financial Mathematics"
https://www.mastersportal.com/studies/64428/,University of Saskatchewan,Economics,M.A.,On Campus,2 years,"2,759","There is a wide spectrum of professional opportunities available to Economics graduates at University of Saskatchewan. Many pursue professional careers in government or in international organizations such as the United Nations, the World Bank and the International Monetary Fund.",301st ,English,On Campus,Saskatoon,Canada,     86      ,     6.5      ,.,.,.,01/02/2021,03/09/2021,Economics
https://www.mastersportal.com/studies/264395/,University of Groningen,Economic Development and Globalization,M.Sc.,On Campus,1 year,"2,143",Do you want to understand the opportunities and challenges posed by globalization for the economic development of countries? Then the Economic Development and Globalization programme at the University of Groningen is for you.,69th ,English,60 ECTS,Groningen,Netherlands,     90      ,     6.5      ,.,.,.,01/05/2021,01/09/2021,Economics
https://www.mastersportal.com/studies/16049/,WU (Vienna University of Economics and Business),Supply Chain Management,M.Sc.,On Campus,2 years,728,The full-time Master in Supply Chain Management at WU (Vienna University of Economics and Business) is unique in Europe. It combines a thorough education in relevant theories and state-of-the-art methods and techniques with a transdisciplinary and integrated view to gain a deeper understanding of supply chain related decision problems from a performance perspective.,701st ,English,120 ECTS,Vienna,Austria,     100      ,     7      ,   Required   ,.,.,08/03/2021,01/10/2021,"Economics, Supply Chain Management & Logistics"
https://www.mastersportal.com/studies/271141/,University of Aberdeen,Financial Economics,M.A.,On Campus,4 years,"2,041",Financial Economics is designed to provide students with an extensive knowledge and understanding of the world of economics and finance. Financial Economics programme at University of Aberdeen explores core theories in economics and how to apply them to finance and exposes students to advanced quantitative techniques used in industry.,178th ,English,180 alternative credits,Aberdeen,.,     78      ,     6      ,.,.,.,20/07/2021,07/09/2021,"Economics, Finance"
https://www.mastersportal.com/studies/176471/,Florida Gulf Coast University,Accounting and Taxation,M.Sc.,On Campus,1 year,"1,069",The Accounting and Taxation program from Florida Gulf Coast University prepares students for careers in accounting and taxation.,.,English,30 alternative credits,Fort Myers Beach,.,     79      ,     6.5      ,.,.,.,01/05/2021,17/08/2021,"Economics, Accounting, Taxation"
https://www.mastersportal.com/studies/11905/,University of Geneva,Statistics,M.Sc.,On Campus,1½ years,926,"The Statistics programme of University of Geneva focuses on data analysis, methodological problem-solving in a range of disciplines, and various types of statistics software, or mathematical statistics. ",59th ,English,90 ECTS,Genève,Switzerland,.,.,.,.,.,28/02/2021,13/09/2021,"Economics, Statistics"
https://www.mastersportal.com/studies/63002/,Yeshiva University,Quantitative Economics,M.Sc.,On Campus,1 year,"1,091","Yeshiva University’s MS in Quantitative Economics (MQE) blends macro and microeconomics, econometrics, probability/statistics, computation, behavioral economics, and data science to inform monetary and fiscal policy, labor markets, public finance, market design, and more.",201st ,English,30 alternative credits,New York City,.,.,.,.,.,.,15/02/2021,26/08/2021,"Economics, Actuarial Science"
https://www.mastersportal.com/studies/65990/,University of Groningen,International Political Economy,M.A.,On Campus,1 year,"2,143",The world has become smaller. Markets operate in Spartan competition and states and societies face the endeavour to cope with on-going globalization. IPE addresses these marvels. The International Political Economy programme at the University of Groningen is for you!,69th ,English,60 ECTS,Groningen,Netherlands,     90      ,     6.5      ,.,.,.,15/10/2021,01/02/2022,"Economics, International Relations, Political Science"
https://www.mastersportal.com/studies/282497/,The University of New Mexico,Economics,M.A.,On Campus,1 year,845,"The Department of Economics Graduate Program at The University of New Mexico offers two separate graduate degrees, the Master of Arts and the Doctor of Philosophy.",251st ,English,30 alternative credits,Albuquerque,.,     79      ,     6.5      ,.,.,.,15/02/2021,17/08/2021,Economics
https://www.mastersportal.com/studies/13240/,Graduate Institute of International and Development Studies,International Economics,Master,On Campus,2 years,"4,747","The International Economics programme of Graduate Institute of International and Development Studies, known in-house (and for historical reasons) as the MIS, is a rigorous two-year degree that equips students with state-of-the-art, policy-relevant training.  The programme is organised into three tracks: (i) International Finance, (ii) Development and (iii) International Trade.",.,English,120 ECTS,Genève,Switzerland,     100      ,     7      ,.,.,.,01/03/2021,14/09/2021,"Economics, International Relations"
https://www.mastersportal.com/studies/149574/,University of Northern British Columbia,Development Economics,M.A.,On Campus,2 years,"2,221","This Development Economics academic program at the University of Northern British Columbia, considers the changing global, regional and national contexts for economic development;  the policy lessons that can be learned from comparative studies; and the tools required to enable development economists to contribute to the development process.",801st ,English,28 alternative credits,Terrace,Canada,     90      ,     6.5      ,.,.,.,01/05/2021,05/01/2022,Economics
https://www.mastersportal.com/studies/287003/,Ghent University,Business Economics - Corporate Finance,M.Sc.,On Campus,1 year,947,The Business Economics - Corporate Finance programme at Ghent University is aimed at students interested in the business scene. ,66th ,English,60 ECTS,Gent,Belgium,     94      ,     6      ,.,.,.,01/06/2021,01/09/2021,"Economics, Finance, Financial Mathematics"
https://www.mastersportal.com/studies/123159/,Fordham University,International Political Economy and Development,M.A.,On Campus,2 years,"1,186","In the International Political Economy and Development Master of Arts at Fordham University , you will study Global Economic Relations. Our students have won a variety of prestigious awards, including Fulbrights, Borens, and other international awards. ",801st ,English,30 alternative credits,Manhattan,.,     90      ,     7      ,.,.,.,05/04/2021,26/08/2021,"Economics, International Development, Political Science"
https://www.mastersportal.com/studies/236305/,"University of the Witwatersrand, Johannesburg",Economic Geology,M.Sc.,On Campus,1 year,"1,908","The Economic Geology MSc by coursework and research report in the field of Economic Geology offered at University of the Witwatersrand, Johannesburg is is a 1 year full-time or 2 year part-time degree designed for geoscientists who want to upgrade their skills in economic geology and mineral exploration.",201st ,English,On Campus,Johannesburg,South Africa,.,     7      ,.,.,.,31/10/2021,01/02/2022,"Economics, Geology"
