Index;country;city;uni;title;uniRank.1;tuition;tuitiontype; favorite; quant;disciplines;startDate;applyBy;DaysLeft;degType;campus;duration;toefl;ielts;gmat;gre;languages;ects;platformLink;about;origLink
478;.;Lincoln;University of Lincoln;Accounting ;501;9.931,00 €;year;;;Business Administration, Finance, Accounting;14/09/2021;;;M.Sc.;On Campus;1 year;79;6;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/70719/;The MSc Accounting at the University of Lincoln enables students to develop the skills required to progress to senior positions in accounting. Students can learn analytical skills that are highly valued by employers in both the public and private sector, with previous graduates going on to careers in accountancy, financial management, and financial reporting.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.universityoflincoln-international.com%2Fprogrammes%2Fmaster-degrees%2Fmsc-accounting%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI3MDcxOSIsImQiOiJBY2NvdW50aW5nIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjUwZGYwMjJjLWMwYmYtNGRkNy1hNjk2LTU0NGQyYzQ4ZWE4MiIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE4Mzk0OTciLCJkIjoiaHR0cHM6Ly93d3cudW5pdmVyc2l0eW9mbGluY29sbi1pbnRlcm5hdGlvbmFsLmNvbS9wcm9ncmFtbWVzL21hc3Rlci1kZWdyZWVzL21zYy1hY2NvdW50aW5nLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=feded882-133e-4fba-81d2-b453acdba5ce&sid=91131311-9a4a-4a79-81d7-7a49a179afcf
488;.;Lincoln;University of Lincoln;Finance ;501;9.931,00 €;year;;;Business Administration, Finance;14/09/2021;;;M.Sc.;On Campus;1 year;79;6;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/70492/;The MSc Finance from University of Lincoln is designed to provide a framework for consolidating and enhancing students' finance and economics skills.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.universityoflincoln-international.com%2Fprogrammes%2Fmaster-degrees%2Fmsc-finance%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI3MDQ5MiIsImQiOiJGaW5hbmNlIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjdlMjg1ZGI0LWY0NzgtNDlkMS1hMmUxLWE0ZGFmMjFmYzRmMSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE4Mzg5NTciLCJkIjoiaHR0cHM6Ly93d3cudW5pdmVyc2l0eW9mbGluY29sbi1pbnRlcm5hdGlvbmFsLmNvbS9wcm9ncmFtbWVzL21hc3Rlci1kZWdyZWVzL21zYy1maW5hbmNlLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=3adc0da8-e04a-41ad-98c2-1d3ca1ed4841&sid=37ce735c-c3ed-49a9-a8c8-2fdc5ed6363a
1285;.;Troy;Troy University;Global Business - Finance;;699;credit ;;;Finance, Master in Business Administration (MBA);11/08/2021;30/07/2021;189;M.B.A.;On Campus;1 year;70;6;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/212334/;By earning your Global Business - Finance program from Troy University, you will take the first step in exploring a world of new opportunities for your career.;.
1286;.;Shippensburg;Shippensburg University of Pennsylvania;Business Administration - Finance;;636;credit ;;;Business Administration, Finance, Business Information Systems;27/08/2021;30/04/2021;98;M.B.A.;Online;2 years;80;6;     450      ;.;English;36 alternative credits;https://www.mastersportal.com/studies/172099/;Shippensburg University of Pennsylvania's AACSB-accredited Business Administration - Finance, M.B.A. program will prepare you to achieve your personal and professional goals. This program is offered 100 percent online.;.
492;.;Lincoln;University of Lincoln;Accounting and Finance ;501;9.931,00 €;year;;;Finance, Accounting;14/09/2021;;;M.Sc.;On Campus;1 year;79;6;.;.;English;On Campus;https://www.mastersportal.com/studies/260201/;The MSc Accounting and Finance programme at University of Lincoln is designed to provide students with the knowledge, skills, and understanding of core accounting and finance principles.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.universityoflincoln-international.com%2Fprogrammes%2Fmaster-degrees%2Fmsc-accounting-and-finance%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNjAyMDEiLCJkIjoiQWNjb3VudGluZyBhbmQgRmluYW5jZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiIxNDU5OGIzYy00MWI3LTRiYTMtYjJiMC1kYjEyYmU5YmJiYTEiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTEzNDgwIiwiZCI6Imh0dHBzOi8vd3d3LnVuaXZlcnNpdHlvZmxpbmNvbG4taW50ZXJuYXRpb25hbC5jb20vcHJvZ3JhbW1lcy9tYXN0ZXItZGVncmVlcy9tc2MtYWNjb3VudGluZy1hbmQtZmluYW5jZS8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=9c1fbec5-a7e2-4c0a-9767-fb54d09c6f51&sid=727ece29-fc47-4a9e-be0f-2630aed7eeac
559;Ireland;Limerick;University of Limerick;Financial Services;501;8.684,00 €;year;;;Finance;28/09/2021;01/07/2021;160;M.Sc.;On Campus;1 year;90;6,5;.;.;English;On Campus;https://www.mastersportal.com/studies/3920/;The MSc in Financial Services offered by University of Limerick is a one-year full-time programme of study designed to equip students with the balance of academic knowledge and technical skills that are required for high value-added positions available in the Financial Services industry in Ireland and abroad.;.
588;.;Chicago;Loyola University Chicago;Finance;501;849,00 €;credit ;;;Finance, Actuarial Science;24/08/2021;15/07/2021;174;M.Sc.;On Campus;1 year;79;6,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/112297/;Prepare for a successful career in Finance at Loyola University Chicago, asset management, or corporate finance;.
619;Italy;Milano;Università Commerciale Luigi Bocconi;Finance;501;14.073,00 €;year;;;Economics, Finance;07/09/2021;27/05/2021;125;M.Sc.;On Campus;2 years;88;6;   Required   ;   Required   ;English;On Campus;https://www.mastersportal.com/studies/4554/;This  MSc in Finance at Università Commerciale Luigi Bocconi presents many career opportunities as managers, analysts and economists at banks, insurance companies and other financial institutions, as well as consultants in either corporate finance advisory or finance divisions of large consulting companies and financial authorities and regulators.;.
1291;.;Manchester;INTO Manchester;Pre-Master's - Development Finance;;;;;;Finance, International Development;28/09/2021;;;Pre-Master;Blended;½ year;;5,5;.;.;English;Blended;https://www.mastersportal.com/studies/302116/;The Pre-Master's - Development Finance program at INTO Manchester is an intermediary step towards studying a Master’s degree at this university.;.
1292;.;Mequon;Concordia University Wisconsin;Finance;;611;credit ;;;Finance, Master in Business Administration (MBA);06/07/2021;;;M.B.A.;On Campus;1 year;79;6,5;.;.;English;36 alternative credits;https://www.mastersportal.com/studies/228827/;Learn from industry professionals and become a highly competitive candidate in the workforce by earning your MBA in the Finance program of Concordia University Wisconsin.;.
1293;.;Stirling;University of Stirling;Pre-Master's - Finance and Economics;301;;;;;Economics, Finance;29/03/2021;;;Pre-Master;Blended;½ year;;6;.;.;English;Blended;https://www.mastersportal.com/studies/300474/;Pre-Master's - Finance and Economics at at INTO University of Stirling  is specifically created for progressing to a certain type of Master’s upon graduation.;.
1294;.;London;London School of International Business;Level 6 Extended Diploma in Management (Finance);;1411;full;;;Finance, Management, Organisation & Leadership;;;;Postgraduate Diploma;Online;½ year;;;.;.;English;120 alternative credits;https://www.mastersportal.com/studies/243405/;Level 6 Extended Diploma in Management (Finance) offered by the London School of International Business provides a flexible route for learners who have already achieved management qualifications at a lower level as well as for learners who do not have business or management qualifications.;.
721;Ireland;Limerick;University of Limerick;Financial Services;501;8.684,00 €;year;;;Finance;28/09/2021;01/07/2021;160;M.Sc.;On Campus;1 year;90;6,5;.;.;English;On Campus;https://www.mastersportal.com/studies/78245/;The MSc in Financial Services offered at University of Limerick was designed to equip students with the balance of academic knowledge and technical skills required for high value-added positions in the Financial Services industry in Ireland and abroad.;.
802;.;Helotes;The University of Texas at San Antonio;Finance;501;13.204,00 €;year ;;;Economics, Finance;01/06/2021;15/04/2021;83;M.Sc.;On Campus;1 year;79;6,5;   Required   ;   Required   ;English;33 alternative credits;https://www.mastersportal.com/studies/103512/;The Finance program of The University of Texas at San Antonio provides an intensive education in various aspects of finance, including markets and institutions, corporate finance, international finance, financial modeling, and investments including derivative securities. ;.
1297;.;Manchester;The University of Manchester;Accounting and Finance;27;4973;year;;;Finance, Accounting;26/10/2021;30/06/2021;159;M.Phil.;On Campus;1 year;100;7;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/19107/;The Master of Accounting and Finance course from The University of Manchester is a one year postgraduate research degree. Students undertake a substantial research project and may undertake some of the research training available to PhD students.  ;.
899;Barbados;Bridgetown;The University of the West Indies;Banking and Finance;501;;;;;Economics, Finance;06/09/2021;31/01/2021;9;M.Sc.;On Campus;1 year, 3 months;82;6,5;.;.;English;45 alternative credits;https://www.mastersportal.com/studies/239777/;The M.Sc. Banking and Finance offered by the University of the West Indies  provides exposure to advanced banking and finance concepts, knowledge and skills, which are academically rigorous and offer practical application in the workplace, in a highly competitive and rapidly changing sector.   ;.
900;.;Auburn;Auburn University;Finance;501;26.261,00 €;year ;;;Finance;17/08/2021;;;M.Sc.;On Campus;1 year;79;6,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/133385/;The Master of Science in Finance program at Auburn University offers a range of courses in the principal areas of finance: corporate, investments, and financial institutions and markets.;.
919;.;Laramie;University of Wyoming;Finance;501;12.470,00 €;year ;;;Finance, Public Administration;23/08/2021;30/06/2021;159;M.Sc.;On Campus;1 year;76;6,5;     550      ;   Required   ;English;30 alternative credits;https://www.mastersportal.com/studies/61398/;Whether driven by technological innovation or world events, accounting and finance are at the heart of decision-making in today's fast-paced business environment. The University of Wyoming Department of Accounting and Finance offers both undergraduate and graduate accounting and Finance degree programs.;.
1005;.;Helotes;The University of Texas at San Antonio;Accountancy;501;21.830,00 €;year ;;;Business Administration, Finance, Accounting;01/06/2021;15/04/2021;83;Master;On Campus;1 year;79;6,5;   Required   ;.;English;30 alternative credits;https://www.mastersportal.com/studies/102942/;The Accountancy program of The University of Texas at San Antonio is a comprehensive graduate degree in accounting that provides students with solid theoretical foundations as well as, opportunities to focus on areas such as taxation, auditing, and financial reporting.;.
1457;Italy;Milano;Università Commerciale Luigi Bocconi;Accounting, Financial Management and Control;501;14.073,00 €;year;;;Finance, Management, Organisation & Leadership, Accounting;07/09/2021;27/05/2021;125;M.Sc.;On Campus;2 years;88;6;   Required   ;   Required   ;English;On Campus;https://www.mastersportal.com/studies/30704/;This Accounting, Financial Management and Control programme at Università Commerciale Luigi Bocconi provides students with all the competencies and skills related to the Chief Financial Officer (CFO) profession, preparing them to analyze problems and make managerial decisions from a plurality of perspectives. ;.
1532;.;Helotes;The University of Texas at San Antonio;Finance - Real Estate;501;13.204,00 €;year ;;;Finance, Real Estate & Property Management;01/06/2021;15/04/2021;83;M.Sc.;On Campus;1 year;79;6,5;   Required   ;   Required   ;English;33 alternative credits;https://www.mastersportal.com/studies/103152/;The Finance - Real Estate program of The University of Texas at San Antonio is designed to offer the opportunity for qualified graduate students to study finance at the graduate level with an emphasis in real estate finance. ;.
1537;Barbados;Bridgetown;The University of the West Indies;Business Analytics - Finance Specialisation;501;10.193,00 €;year ;;;Finance, Business Intelligence & Analytics;25/08/2021;;;M.Sc.;On Campus;1½ years;82;6,5;.;.;English;On Campus;https://www.mastersportal.com/studies/244394/;The MSc. Business Analytics - Finance Specialisation programme at The University of the West Indies is designed to provide students with broad and in-depth training in all fundamental areas related to business analytics and big data analysis. ;.
1561;.;Hoboken;Stevens Institute of Technology;Financial Engineering;501;31.948,00 €;year ;;;Applied Mathematics, Finance, Actuarial Science;31/08/2021;15/04/2021;83;M.Sc.;On Campus;2 years;74;6;   Required   ;   Required   ;English;30 alternative credits;https://www.mastersportal.com/studies/64756/;We offer a master degree in Financial Engineering at the Stevens Institute of Technology. Today's complex financial markets require experts who not only understand how the markets work, but who also have the mathematical knowledge to uncover patterns and the technological skills to exploit them.;.
1306;.;Adelaide;Flinders University;Business;251;;;;;Finance, Accounting, International Business;01/03/2021;;;Pre-Master;On Campus;4 months;59;5,5;.;.;English;4 alternative credits;https://www.mastersportal.com/studies/141204/;Specifically designed for international students, the Pre-Masters Business Program at Flinders University is an advanced course of English language and academic preparation. The  course will fully prepare you for joining the Master of Business, Master of Accounting, Master of Accounting and Finance or Master of Accounting and Marketing degrees at Flinders University.;.
1628;.;Reno;University of Nevada, Reno;Finance;501;17.336,00 €;year ;;;Finance;26/08/2021;15/03/2021;52;M.Sc.;On Campus;1 year;79;6,5;     500      ;   Required   ;English;30-33 alternative credits;https://www.mastersportal.com/studies/120914/; The M.S. in Finance at University of Nevada, Reno is designed to help students develop technical and analytical skills in the area of finance and to acquire the core conceptual knowledge about the applications of those skills in solving financial issues and furthering the body of knowledge through ongoing research.;.
1652;.;Hempstead;Hofstra University;Finance;501;;;;;Business Administration, Finance;24/08/2021;;;M.Sc.;On Campus;2 years;80;6,5;   Required   ;   Required   ;English;30 alternative credits;https://www.mastersportal.com/studies/131544/;The Master of Science in Finance from Hofstra University offers advanced financial instruction that provides a strong conceptual understanding of finance and develops students' analytical abilities. Candidates come with interests in such areas as corporate finance, investments, international finance, and financial institutions. ;.
1678;.;Durham;University of New Hampshire;Accounting;501;22.854,00 €;year ;;;Business Administration, Finance, Accounting;31/08/2021;15/06/2021;144;M.Sc.;On Campus;1 year;80;6,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/66768/;This rigorous 30-credit Accounting program at the University of New Hampshire will prepare you for the corner office. Develop rock-solid accounting expertise, plus the technical, analytical and communication skills needed to become the problem-solving candidate employers seek.;.
1310;Hong Kong (SAR);Hong Kong;City University of Hong Kong;Quantitative Analysis for Business;48;625,00 €;credit ;;;Industrial & Systems Engineering, Business Administration, Finance;02/09/2021;;;M.A.;Blended;1 year;79;6,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/62713/;The Quantitative Analysis for Business programme at City University of Hong Kong offers a comprehensive coverage of quantitative methods (including courses on data-mining, marketing research, financial modeling and risk management) and adopts the point of view of business intelligence, drawing on practical experience and knowledge in the fields;.
1795;.;Dallas;Southern Methodist University;Finance;501;1.134,00 €;credit ;;;Finance;24/08/2021;02/08/2021;192;M.Sc.;On Campus;1 year;100;7,5;   Required   ;   Required   ;English;32 alternative credits;https://www.mastersportal.com/studies/68513/;With an MS in Finance from Southern Methodist University, you’ll be ready to push ahead in a finance career whether or not you have a undergraduate business degree.;.
1814;.;Ayr;University of the West of Scotland;Finance and Accounting with CIMA;501;8.374,00 €;year;;;Finance, Accounting;01/09/2021;;;M.Sc.;On Campus;1 year;78;6;.;.;English;120 alternative credits;https://www.mastersportal.com/studies/283020/;Finance and Accounting with CIMA degree offered at the University of the West of Scotland was developed in conjunction with the Chartered Institute of Management Accountants (CIMA), this course prepares you for a successful career in finance and accounting, working at home or overseas in various business environments.;.
1313;.;London;London School of Planning and Management;Level 7 Diploma in Strategic Management (Finance);;1466;full;;;Finance, Management, Organisation & Leadership;;;;Postgraduate Diploma;Online;½ year;;;.;.;English;60 alternative credits;https://www.mastersportal.com/studies/243123/;The Level 7 Diploma in Strategic Management (Finance) offered by the London School of Planning and Management is a 60 credit qualification. Learners selecting the unendorsed route take two of the five core units worth 30 credits and two further units from the Finance Pathway.;.
1958;.;Hoboken;Stevens Institute of Technology;Financial Analytics;501;31.948,00 €;year ;;;Finance;31/08/2021;15/04/2021;83;M.Sc.;On Campus;2 years;74;6;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/159887/;We offer a master degree in Financial Analytics at the Stevens Institute of Technology. Today’s technology-intensive finance industry is desperate for analysts who bring statistical and programming skills to banks, hedge funds and wealth management offices. ;.
1966;.;Newark;New Jersey Institute of Technology;Management;501;25.097,00 €;year ;;;Finance, Accounting, International Business;03/09/2021;01/05/2021;99;M.Sc.;On Campus;1 year;79;6,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/105103/;The Management program at New Jersey Institute of Technology is designed for aspirants who seek career advancement as senior administrators in the specialized STEM-related areas where they currently work. ;.
2029;.;Hempstead;Hofstra University;Quantitative Finance;501;;;;;Business Administration, Finance;24/08/2021;;;M.Sc.;On Campus;2 years;80;6,5;   Required   ;   Required   ;English;33 alternative credits;https://www.mastersportal.com/studies/132032/;The Master of Science in Quantitative Finance from Hofstra University offers advanced instruction to students with a quantitative background. Students are provided with a strong conceptual understanding of financial theory and analytical techniques. ;.
2188;.;Perth;Murdoch University;Professional Accounting;501;;;;;Economics, Finance, Accounting;22/02/2021;;;Master;On Campus;1 year;73;6;.;.;English;36 alternative credits;https://www.mastersportal.com/studies/62137/;Already have a degree and looking to change professions and work in the accounting industry? This is the course for you. Professional Accounting program is offered at Murdoch University .;.
132;Italy;Milano;Università Cattolica del Sacro Cuore;Credit Risk Management ;511;7.500,00 €;year;;;Economics, Finance, Risk Management;01/11/2021;30/06/2021;159;Master;On Campus;1 year;83;6;.;.;English;60 ECTS;https://www.mastersportal.com/studies/272423/;Credit Risk Management from Università Cattolica del Sacro Cuore is the only Specializing Master program on Credit Risk Management in Italy. It combines quantitative training with a multidisciplinary vision of the credit risk, its management and its measurement. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Finternational.unicatt.it%2Fucscinternational-1-year-specializing-masters-credit-risk-management&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNzI0MjMiLCJkIjoiQ3JlZGl0IFJpc2sgTWFuYWdlbWVudCIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiIzMmY1YTk4OC03Y2ZkLTQwMzYtODA2Yy0wMjU1NDc4OTdjMjIiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTI2NDg1IiwiZCI6Imh0dHBzOi8vaW50ZXJuYXRpb25hbC51bmljYXR0Lml0L3Vjc2NpbnRlcm5hdGlvbmFsLTEteWVhci1zcGVjaWFsaXppbmctbWFzdGVycy1jcmVkaXQtcmlzay1tYW5hZ2VtZW50IiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=8d87bdaf-1787-49dc-a22b-3c2d22b5cb59&sid=3e04dbe2-8b9c-4cf9-b0e1-fb9b113089c7
388;Italy;Milano;Università Cattolica del Sacro Cuore;Banking and Finance ;511;3.600,00 €;year;;;Economics, Finance, Accounting;01/09/2021;11/06/2021;140;M.Sc.;On Campus;2 years;83;6,5;.;.;English;120 ECTS;https://www.mastersportal.com/studies/53577/;The Banking and Finance programme offered by Università Cattolica del Sacro Cuore is a specialized degree designed for students who wish to concentrate their career in financial markets and institutions.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Finternational.unicatt.it%2Fucscinternational-graduate-programs-banking-and-finance&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI1MzU3NyIsImQiOiJCYW5raW5nIGFuZCBGaW5hbmNlIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImRjZjVmODUxLWZlN2EtNDMyOS1hMzZmLWVkMjEzZDY5MGExMyIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5NjI2MzUiLCJkIjoiaHR0cHM6Ly9pbnRlcm5hdGlvbmFsLnVuaWNhdHQuaXQvdWNzY2ludGVybmF0aW9uYWwtZ3JhZHVhdGUtcHJvZ3JhbXMtYmFua2luZy1hbmQtZmluYW5jZSIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=6819cd5d-d998-45b0-bae6-9e1c92c2606b&sid=21b70d79-bf22-451c-a1f8-cfe1854caa26
425;Italy;Milano;Università Cattolica del Sacro Cuore;Economics ;511;3.600,00 €;year;;;Economics, Finance, Management, Organisation & Leadership;01/09/2021;11/06/2021;140;M.Sc.;On Campus;2 years;83;6;   Required   ;   Required   ;English;120 ECTS;https://www.mastersportal.com/studies/53579/;The Economics programme at Università Cattolica del Sacro Cuore provides students with a solid training in Economics emphasizing rigorous analytical thinking and advanced quantitative methods, taught by faculty members that are internationally recognized economists.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Finternational.unicatt.it%2Fucscinternational-economics&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI1MzU3OSIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiNDc0MjgwZjgtZTM0OS00MGFiLTk0ODktOTUyNGY4NTg5NTI4IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTkyMjMzMCIsImQiOiJodHRwczovL2ludGVybmF0aW9uYWwudW5pY2F0dC5pdC91Y3NjaW50ZXJuYXRpb25hbC1lY29ub21pY3MiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=3e401591-f147-42d8-a274-87c73f96866a&sid=e24b960d-a53d-4ccf-8691-46b59247e77e
1321;.;Rochester Hills;Oakland University;Finance;1001;34939;year ;;;Finance;06/01/2022;01/09/2021;222;M.B.A.;On Campus;1 year;79;6,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/248932/;A program leading to the Master of Business Administration (MBA) Finance at Oakland University with special emphasis in information technology and international business is offered by the School of Business Administration. It is designed to educate students for managerial roles in private, public, or not-for-profit sectors of the economy.;.
940;Singapore;Singapore;Singapore Management University;CFO Leadership (MCFO);511;8.459,00 €;year ;;;Finance, Accounting;17/08/2021;22/03/2021;59;M.Sc.;On Campus;1 year;93;7;.;.;English;On Campus;https://www.mastersportal.com/studies/141914/;The CFO Leadership (MCFO) at Singapore Management University growing complexity and scope of the finance function in organisations today demand that professionals be not only competent in financial and management reporting, but also skillful in making financial decisions, adept at governance and risk matters.;.
1120;Singapore;Singapore;Singapore Management University;Financial Economics (MSFE);511;23.475,00 €;year ;;;Economics, Business Administration, Finance;01/08/2021;01/04/2021;69;M.Sc.;On Campus;1 year;;6,5;   Required   ;   Required   ;English;On Campus;https://www.mastersportal.com/studies/142902/;Drawing on the expertise of different schools, the Financial Economics (MSFE) from Singapore Management University is the first truly multidisciplinary programme at SMU that equips talented professionals with the most advanced tools of economic theory, financial econometrics and statistical computation to study the manifold problems faced by the financial industry.;.
1324;Croatia;Zagreb;Zagreb School of Economics and Management;Corporate Finance;;10400;year ;;;Business Administration, Finance, Master in Business Administration (MBA);01/03/2021;20/02/2021;29;M.B.A.;On Campus;1 year;;;.;.;English;60 ECTS;https://www.mastersportal.com/studies/250246/;The Corporate Finance program of the Zagreb School of Economics and Management is intended for everyone that wishes to start a career in the private sector in the area of corporate finance.;.
1325;.;London;INTO London World Education Centre;Pre-Master's in Business Administration - Economics and Finance;;;;;;Economics, Finance;28/09/2021;;;Pre-Master;Blended;9 months;;5,5;.;.;English;Blended;https://www.mastersportal.com/studies/300787/;The Pre-Master's in Business Administration - Economics and Finance at INTO London World Education Centre  is an intermediary step towards studying a Master’s degree at this university.;.
1559;Singapore;Singapore;Singapore Management University;IT in Business - Financial Services;511;8.423,00 €;year ;;;Computer Science & IT, Business Administration, Finance;17/08/2021;22/03/2021;59;Master;On Campus;1 year;93;7;.;.;English;On Campus;https://www.mastersportal.com/studies/81768/;The definitive Master of IT in Business - Financial Services programme at Singapore Management University will give you an unparalleled edge with the knowledge of data, processes, technologies and management strategies. With two unique specialisation tracks to choose from, you will be poised to lead the industry in a time of transformation.;.
1692;Singapore;Singapore;Singapore Management University;Quantitative Finance;511;26.118,00 €;year ;;;Applied Mathematics, Finance, Financial Mathematics;01/08/2021;01/04/2021;69;M.Sc.;On Campus;1 year;;7;   Required   ;   Required   ;English;On Campus;https://www.mastersportal.com/studies/142225/;The Master of Science in Quantitative Finance from Singapore Management University provides a pathway to equip students with the knowledge to tame the risk while staying on top of the game.  ;.
1732;Singapore;Singapore;Singapore Management University;Applied Finance;511;26.005,00 €;year ;;;Business Administration, Finance;01/07/2021;31/05/2021;129;M.Sc.;On Campus;1 year;;6,5;   Required   ;   Required   ;English;On Campus;https://www.mastersportal.com/studies/142102/;The Applied Finance programme from Singapore Management University provides a strong foundation in the principles, practices and operations of international and domestic financial markets focusing on applying updated and relevant knowledge in real-world situations.;.
1905;Singapore;Singapore;Singapore Management University;Economics;511;21.478,00 €;year ;;;Economics, Business Administration, Finance;01/08/2021;01/04/2021;69;M.Sc.;On Campus;1 year;;6,5;   Required   ;   Required   ;English;On Campus;https://www.mastersportal.com/studies/81743/;The MSc in Economics from Singapore Management University equips you with a strong core of economic theory and data-analytic skills, and our 3 tracks offer you the flexibility to adapt the programme to your needs and interests. The MSE is accessible without prior training in economics.;.
1330;.;Manchester;INTO Manchester;Pre-Master's - Business Economics and Finance;;;;;;Economics, Business Administration, Finance;28/09/2021;;;Pre-Master;Blended;½ year;;5,5;.;.;English;Blended;https://www.mastersportal.com/studies/301555/;The Pre-Master's - Business Economics and Finance program at INTO Manchester is an intermediary step towards studying a Master’s degree at this university.;.
265;Czech Republic;Brno;Masaryk University;Finance ;531;3.500,00 €;year;;;Economics, Finance, Financial Mathematics;05/10/2021;15/04/2021;83;Master;On Campus;2 years;79;6,5;.;.;English;120 ECTS;https://www.mastersportal.com/studies/19284/;Students in this Finance programme at Masaryk University are prepared to work in various functions in monetary systems, corporate finance, and financial accounting. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.muni.cz%2Fen%2Fbachelors-and-masters-study-fields%2F23071-finance&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxOTI4NCIsImQiOiJGaW5hbmNlIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjYxZTEzNTZiLWJlMjEtNDUyYi1iOTQwLTZhMDJlNmFlM2EyNSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5OTI2MzMiLCJkIjoiaHR0cHM6Ly93d3cubXVuaS5jei9lbi9iYWNoZWxvcnMtYW5kLW1hc3RlcnMtc3R1ZHktZmllbGRzLzIzMDcxLWZpbmFuY2UiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=6febc806-c770-4fc7-bb46-ded4163f4538&sid=fa5cc0f7-80a2-401e-aba5-2923e38f5989
